,name,ev_centrality,betweenness,degree
63,Bernie,0.02379242640185191,0.0,1
64,Jeff Weaver,0.02379242640185191,0.0,1
65,Clintons,0.08430786176765304,8.147462458491287e-05,10
66,Whitewater,0.02379242640185191,0.0,1
67,Monica Lewinsky,0.02379242640185191,0.0,1
68,Lewinsky,0.02379242640185191,0.0,1
69,Osama bin Laden,0.02379242640185191,0.0,1
70,Blackberry,0.02379242640185191,0.0,1
71,Antonin Scalia,0.00042156294308274574,0.0,1
72,Scalia,0.0076999419903164504,0.008997005228161008,5
73,Jeb Bush’s,0.014385578034826945,0.0,1
74,Weaver,0.02379242640185191,0.0,1
75,Robby Mook,0.02379242640185191,0.0,1
76,Brian Fallon,0.02379242640185191,0.0,1
77,Politico,0.03828037098361861,0.0,2
78,Kennedy,0.02570279834204695,0.015225276615561372,5
79,Gary Johnson,0.028218028653479037,0.0,2
80,Weld,0.004425602251627131,0.0,1
81,Tim Kaine,0.02379242640185191,0.0,1
82,Kaine,0.0404976906375573,0.0,4
83,Benjamin Netanyahu,0.0005236202442932442,0.0,1
84,Netanyahu,0.009563934624953212,0.00893355667225014,4
85,Jill Stein,0.02379242640185191,0.0,1
86,Evan McMullin,0.02379242640185191,0.0,1
87,Stein,0.028218028653479037,0.0,2
88,McMullin,0.03828037098361861,0.0,2
89,Rubio,0.014385578034826945,0.0,1
90,McCain,0.05512096758172144,0.0,5
91,John Podesta,0.02379242640185191,0.0,1
92,Paul Manafort,0.02379242640185191,0.0,1
93,Paula Jones,0.02379242640185191,0.0,1
94,Comey,0.02379242640185191,0.0,1
95,David Brock,0.02379242640185191,0.0,1
96,Michelle Obama,0.02379242640185191,0.0,1
97,Donald,0.02379242640185191,0.0,1
98,Mike Pence,0.03828037098361861,0.0,2
99,Al Gore,0.02379242640185191,0.0,1
100,Gray,2.438684889984568e-20,0.0,2
101,Bill Clinton's,0.02379242640185191,0.0,1
102,Chris Stevens,0.02379242640185191,0.0,1
103,Benghazi,0.02379242640185191,0.0,1
104,Vladimir Putin,0.03828037098361861,0.0,2
105,Putin,0.0404976906375573,0.0,4
106,Christopher Stevens,0.02379242640185191,0.0,1
107,Reince Priebus,0.02379242640185191,0.0,1
108,Sidney Blumenthal,0.02379242640185191,0.0,1
109,McCarthy,0.035849399541783136,0.0,6
110,Jake Tapper,0.02379242640185191,0.0,1
111,James Comey,0.02379242640185191,0.0,1
112,Mook,0.02379242640185191,0.0,1
113,John Wagner,0.02379242640185191,0.0,1
114,Giuliani,0.02379242640185191,0.0,1
115,Hillary Clinton’s,0.02379242640185191,0.0,1
116,Martin O’Malley,0.02379242640185191,0.0,1
117,Jake Sullivan,0.02379242640185191,0.0,1
118,Vox,0.02379242640185191,0.0,1
119,Chris Wallace,0.02379242640185191,0.0,1
120,Chris Stirewalt,0.02379242640185191,0.0,1
121,Martin O'Malley,0.02379242640185191,0.0,1
122,Jim Webb,0.02379242640185191,0.0,1
123,O'Malley,0.02379242640185191,0.0,1
124,Ted,0.013297302343966852,0.0,1
125,Francis,2.438684889984568e-20,0.0,2
126,Sarah Palin,0.013297302343966852,0.0,1
127,Rick Santorum,0.013297302343966852,0.0,1
128,Davis,4.759993696743748e-18,0.0,3
129,Roberts,0.0014888089971122928,0.0,3
130,Bloomberg,0.02379242640185191,0.0,1
131,John Kerry,0.02379242640185191,0.0,1
132,Cheryl Mills,0.02379242640185191,0.0,1
133,David Weigel,0.02379242640185191,0.0,1
134,Abby Phillip,0.02379242640185191,0.0,1
135,Koch,0.02379242640185191,0.0,1
136,Harry Reid,0.02379242640185191,0.0,1
137,Gingrich,0.01532710587724501,0.0,3
138,Albright,0.02379242640185191,0.0,1
139,Rodham,0.02379242640185191,0.0,1
140,Kellyanne Conway,0.02379242640185191,0.0,1
141,Nick Merrill,0.02379242640185191,0.0,1
142,Huma Abedin,0.02379242640185191,0.0,1
143,Jennifer Palmieri,0.02379242640185191,0.0,1
144,Abedin,0.05772334705396616,0.003308066708401718,9
145,BlackBerry,0.02379242640185191,0.0,1
146,James B. Comey,0.02379242640185191,0.0,1
147,Sullivan,0.02379242640185191,0.0,1
148,Reid,0.02379242640185191,0.0,1
149,Pagliano,0.02379242640185191,0.0,1
150,Powell,0.02379242640185191,0.0,1
151,Marco,0.014385578034826945,0.0,1
152,Williams,0.025170584760312295,0.0,3
153,Khan,0.01532710587724501,0.0,3
154,Kim Davis,2.9418378908228964e-18,0.0,1
155,Walker,0.05445688568197623,0.0,5
156,Latino,0.02379242640185191,0.0,1
157,Trey Gowdy,0.02379242640185191,0.0,1
158,Gowdy,0.02379242640185191,0.0,1
159,Blumenthal,0.02379242640185191,0.0,1
160,Rick Perry,0.02379242640185191,0.0,1
161,Scott Walker,0.051475306780645706,0.0,3
162,Lindsey Graham,0.013297302343966852,0.0,1
163,Breitbart,0.02379242640185191,0.0,1
164,Bannon,0.02379242640185191,0.0,1
165,Kevin McCarthy,0.02379242640185191,0.0,1
166,Gore,0.02379242640185191,0.0,1
167,Wolf Blitzer,0.02379242640185191,0.0,1
